NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION	3354	0
PUERTO RICO	7708	1
SAS	7787	1
VIRGINIA BANKERS ASSOCIATION	8937	1
ACCORD	10508	1
FEDERAL COMMUNICATIONS COMMISSION	8688	1
LIMIT	10859	1
SAN FRANCISCO CHRONICLE	8796	2
NATIONAL CLUB ASSOCIATION	12142	3
AMERICAN RIVERS	372	3
RIVERKEEPER	4322	3
LOS ANGELES TIMES	2708	3
NATIONAL ROOFING CONTRACTORS ASSOCIATION	6823	3
NATIONAL UTILITY CONTRACTORS ASSOCIATION	6824	3
NEW YORK CITY	6500	3
FARM EQUIPMENT MANUFACTURERS ASSOCIATION	1775	3
INTERNATIONAL FRANCHISE ASSOCIATION	7424	3
AMERICAN FARM BUREAU FEDERATION	5040	3
INTERNATIONAL MASS RETAIL ASSOCIATION	2370	4
VIOLENCE POLICY CENTER	5029	4
AMERICAN BANKERS ASSOCIATION	195	5
NATIONAL WOMENS LAW CENTER	3553	6
NATIONAL ASIAN PACIFIC AMERICAN WOMENS FORUM	3120	6
MEDICAID	2839	6
WOMENS LAW CENTER	5228	6
GUTTMACHER INSTITUTE	2027	6
AMERICAN PSYCHOLOGICAL ASSOCIATION	368	6
AMERICAN PUBLIC HEALTH ASSOCIATION	369	6
PLANNED PARENTHOOD	4082	6
NATIONAL FAMILY PLANNING & REPRODUCTIVE HEALTH ASSOCIATION	10504	6
JUSTICE COLLECTIVE	2500	6
NATIONAL GOVERNORS ASSOCIATION	3391	7
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE	11493	8
PUBLIC SERVICE COMMISSION	9071	8
WILDLIFE MANAGEMENT INSTITUTE	9388	8
SERVICEMEMBERS LEGAL DEFENSE NETWORK	4447	8
NEW YORK STOCK EXCHANGE	3725	8
TOBACCO PRODUCTS LIABILITY PROJECT	4784	8
NATIONAL BORDER PATROL COUNCIL	3258	8
WOMEN EMPLOYED	5208	8
NATIONAL WOMENS POLITICAL CAUCUS	3554	8
NATIONAL WOMENS HISTORY PROJECT	3552	8
NATIONAL WOMENS HEALTH NETWORK	3551	8
NATIONAL BAR ASSOCIATION	3250	8
NATIONAL BASKETBALL ASSOCIATION	3252	8
GEORGETOWN UNIVERSITY LAW CENTER	1946	8
AMERICAN FARMLAND TRUST	9283	8
CITIBANK	1159	8
JUSTICE COALITION	11910	8
AMERICAN LUNG ASSOCIATION	346	8
POLICY ANALYSIS CENTER	11915	8
AMERICAN LEGISLATIVE EXCHANGE COUNCIL	341	8
AMERICAN LIBRARY ASSOCIATION	343	8
WASHINGTON CONTRACT LOGGERS ASSOCIATION	9937	8
AMERICAN MEDICAL ASSOCIATION	349	8
PARENTS TELEVISION COUNCIL	3991	8
BROWN UNIVERSITY	817	8
MICROSOFT	2914	8
MEDTRONIC	2853	8
AMERICAN JAIL ASSOCIATION	330	8
MUSCULAR DYSTROPHY ASSOCIATION	10091	8
THE AMERICAN LEGION	6150	8
CITGO	6152	8
EATON	1620	8
NATIONAL CRIME VICTIM LAW INSTITUTE	3337	8
UNITED STEELWORKERS	6157	8
RETAIL MERCHANTS ASSOCIATION	6091	8
NATIONAL DEFENSE COMMITTEE	3339	8
AMERICAN CORN GROWERS ASSOCIATION	12063	8
NATIONAL GROCERS ASSOCIATION	10096	8
AMERICAN NATIONAL RED CROSS	10192	8
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION	1705	8
EQUAL RIGHTS ADVOCATES	1709	8
TAX FOUNDATION	4678	8
AMERICAN GERIATRICS SOCIETY	299	8
AMERICAN GAMING ASSOCIATION	296	8
AMERICAN GAS ASSOCIATION	297	8
AMERICAN FRIENDS SERVICE COMMITTEE	294	8
AMERICAN FREEDOM AGENDA	293	8
NORTH COAST RIVERS ALLIANCE	3773	8
COAST ALLIANCE	9727	8
RIVER ALLIANCE	4320	8
AMERICAN BENEFITS COUNCIL	197	8
AMERICAN BAR ASSOCIATION	196	8
CHILDREN NOW	1124	8
CHILDRENS DEFENSE FUND	1126	8
AMERICAN AUTOIMMUNE RELATED DISEASES ASSOCIATION	192	8
SURFRIDER FOUNDATION	4655	8
AMERICAN EXPRESS	273	8
AMERICAN FAMILY ASSOCIATION	274	8
SOUTH DAKOTA CATTLEMENS ASSOCIATION	4552	8
MASTERCARD	2821	8
MAYO CLINIC	2822	8
CALIFORNIA COASTAL COMMISSION	9298	8
KELLOGG	2541	8
NATIONAL FOREIGN TRADE COUNCIL	3385	8
NATIONAL FOOTBALL LEAGUE	3382	8
KENTUCKY FARM BUREAU	2546	8
NATIONAL FISHERIES INSTITUTE	3381	8
MORTGAGE BANKERS ASSOCIATION	3025	8
MORGAN STANLEY	3023	8
AMERICAN TRUCKING ASSOCIATIONS	8738	8
CONSTITUTION PROJECT	1371	8
INNOCENCE PROJECT	2266	8
AMERICAN HEALTH CARE ASSOCIATION	302	8
PUBLIC LANDS FOUNDATION	4215	8
PUBLIC LANDS COUNCIL	4214	8
VANDERBILT UNIVERSITY	5001	8
CONGRESSIONAL BLACK CAUCUS	1339	8
PUBLIC KNOWLEDGE	4213	8
VERIZON	5004	8
ANIMAL LEGAL DEFENSE FUND	443	8
COASTAL STATES ORGANIZATION	1238	8
MAJOR LEAGUE SOCCER	2765	8
MAJOR LEAGUE BASEBALL PLAYERS ASSOCIATION	2764	8
MENTAL HEALTH ASSOCIATION	7867	8
INFORMATION TECHNOLOGY INDUSTRY COUNCIL	2260	8
FREEDOM FORUM	11384	8
SAFARI CLUB INTERNATIONAL	4357	8
RUTHERFORD INSTITUTE	4350	8
CALIFORNIA STATE SHERIFFS ASSOCIATION	902	8
GUAM	7707	8
TRANSPORTATION INTERMEDIARIES ASSOCIATION	4811	8
TRANSPORTATION INSTITUTE	4810	8
TRIBUNE	4817	8
PUBLIC JUSTICE	4815	8
ADVANCED MEDICAL TECHNOLOGY ASSOCIATION	32	8
TRINITY UNITED METHODIST CHURCH	4818	8
AMERICAN BOILER MANUFACTURERS ASSOCIATION	6506	8
FLORIDA IMMIGRANT ADVOCACY CENTER	1844	8
COCA COLA	1240	8
COLLEGE BOARD	1245	8
HISPANIC NATIONAL BAR ASSOCIATION	2105	8
NASDAQ	3094	8
UNITED STATES STUDENT ASSOCIATION	4900	8
MILITARY COALITION	10635	8
AMGEN	432	8
DISABLED AMERICAN VETERANS	1539	8
PROTECTING OUR CHILDREN	11217	8
AMERICAN LEGION	339	8
SMALL BUSINESS LEGISLATIVE COUNCIL	9737	8
FEDERAL ENERGY REGULATORY COMMISSION	8098	8
AMERICAN LEGACY FOUNDATION	337	8
NORTHROP GRUMMAN	3800	8
NORTHWEST AIRLINES	3803	8
AMERICAN JEWISH CONGRESS	332	8
ALPHA KAPPA ALPHA SORORITY	10028	8
NATIONAL COLLEGIATE ATHLETIC ASSOCIATION	3294	8
AMERICAN RED CROSS	8342	8
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION	3296	8
PRESERVATION ACTION	9282	8
CALIFORNIA BANKERS ASSOCIATION	854	8
PHILIP MORRIS	8190	8
