HUMANE SOCIETY	2153	0
GENENTECH	1928	0
INC	2223	1
UNITED AUTOMOBILE WORKERS	6711	1
WOMEN	10223	1
INTERNATIONAL UNION	2391	1
UNITED AUTOMOBILE	4851	1
EXXON MOBIL	1751	2
EXXON	1750	2
MOBIL	6904	2
SERVICEMEMBERS LEGAL DEFENSE NETWORK	4447	3
AMERICAN WAY	10305	3
HUMAN RIGHTS CAMPAIGN	2141	3
NETWORK	11555	3
LOG CABIN REPUBLICANS	2697	3
MIAMI HERALD	7092	3
ASSOCIATED PRESS	536	3
AMERICAN MEDICAL ASSOCIATION	349	4
PUERTO RICO	7708	4
LIFE LEGAL DEFENSE FOUNDATION	2686	4
EAGLE FORUM	1615	4
AMERICAN PUBLIC HEALTH ASSOCIATION	369	4
LIFE ISSUES INSTITUTE	10499	4
AMERICAN CONSERVATIVE UNION	256	4
PLANNED PARENTHOOD	4082	4
TRADITIONAL VALUES COALITION	4798	4
JUSTICE	2496	4
LIBERTY COUNSEL	2675	4
CONSUMER ACTION	1374	5
EQUIFAX	1715	5
UNITED STATES	8058	6
WASHINGTON POST COMPANY	5099	6
PUBLIC LANDS COUNCIL	4214	7
SAFARI CLUB INTERNATIONAL	4357	7
CALIFORNIA CATTLEMENS ASSOCIATION	859	7
NATIONAL RIFLE ASSOCIATION	3515	7
MONTANA STOCKGROWERS ASSOCIATION	3013	7
MINNESOTA FARM BUREAU	2944	7
FLORIDA CATTLEMENS ASSOCIATION	1834	7
GEORGIA CATTLEMENS ASSOCIATION	1952	7
AMERICAN SHEEP INDUSTRY ASSOCIATION	375	7
CONGRESSIONAL SPORTSMENS FOUNDATION	1340	7
KANSAS LIVESTOCK ASSOCIATION	2527	7
NEVADA CATTLEMENS ASSOCIATION	3611	7
UTAH CATTLEMENS ASSOCIATION	4981	7
MICHIGAN CATTLEMENS ASSOCIATION	2891	7
NATIONAL SHOOTING SPORTS FOUNDATION	3530	7
OREGON CATTLEMENS ASSOCIATION	3910	7
ARIZONA CATTLE GROWERS ASSOCIATION	460	7
COLORADO CATTLEMENS ASSOCIATION	1252	7
NATIONAL CATTLEMENS BEEF ASSOCIATION	3265	7
WASHINGTON CATTLEMENS ASSOCIATION	5084	7
ARIZONA CATTLE FEEDERS ASSOCIATION	459	7
VIRGINIA CATTLEMENS ASSOCIATION	5034	7
RETAIL MERCHANTS ASSOCIATION	6091	8
AMERICAN GAS ASSOCIATION	297	8
KENTUCKY FARM BUREAU	2546	8
NATIONAL MINING ASSOCIATION	3459	8
EDISON ELECTRIC INSTITUTE	1629	8
SEC	7176	8
SHELL OIL	4461	8
COLORADO	12212	8
NATURAL GAS SUPPLY ASSOCIATION	3568	8
ELECTRIC POWER SUPPLY ASSOCIATION	1650	8
ALUMINUM ASSOCIATION	12003	8
HOME	2113	8
PEABODY ENERGY	4007	8
AMERICAN CHEMISTRY COUNCIL	209	8
NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION	3354	8
INDIANA COAL COUNCIL	2239	8
TOYOTA	11798	8
NEW YORK STATE HEALTH FACILITIES ASSOCIATION	3718	8
HEINZ	11701	8
INDIANA MANUFACTURERS ASSOCIATION	6914	8
NUCLEAR ENERGY INSTITUTE	3823	8
MINNESOTA	8445	8
NATIONAL GRANGE	10436	8
BUSINESS ROUNDTABLE	835	8
AMERICAN PETROLEUM INSTITUTE	362	8
NATIONAL ROOFING CONTRACTORS ASSOCIATION	6823	8
VIRGINIA MANUFACTURERS ASSOCIATION	10631	8
NEW YORK CITY	6500	8
SHELL	6292	8
NATIONAL BEER WHOLESALERS ASSOCIATION	8063	8
MISSISSIPPI	9182	8
NEW ENGLAND FUEL INSTITUTE	10364	8
RUBBER MANUFACTURERS ASSOCIATION	10346	8
KENTUCKY COAL ASSOCIATION	2544	8
ASSOCIATED INDUSTRIES	533	8
INTERSTATE NATURAL GAS ASSOCIATION	2399	8
AMERICAN TEXTILE MANUFACTURERS INSTITUTE	6453	8
AMERICAS FUTURE	429	8
NATIONAL MARINE MANUFACTURERS ASSOCIATION	3450	8
INDIANA	7376	8
EXELON	1745	8
NATIONAL FOOD PROCESSORS ASSOCIATION	8670	8
AMERICAN FARM BUREAU FEDERATION	5040	8
OHIO	6547	8
AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE	11493	9
PUBLIC SERVICE COMMISSION	9071	9
WILDLIFE MANAGEMENT INSTITUTE	9388	9
PENNSYLVANIA IMMIGRATION RESOURCE CENTER	4027	9
NEW YORK STOCK EXCHANGE	3725	9
TOBACCO PRODUCTS LIABILITY PROJECT	4784	9
NATIONAL BORDER PATROL COUNCIL	3258	9
WOMEN EMPLOYED	5208	9
NATIONAL WOMENS POLITICAL CAUCUS	3554	9
NATIONAL WOMENS LAW CENTER	3553	9
NATIONAL WOMENS HISTORY PROJECT	3552	9
NATIONAL WOMENS HEALTH NETWORK	3551	9
NATIONAL BAR ASSOCIATION	3250	9
NATIONAL BASKETBALL ASSOCIATION	3252	9
GEORGETOWN UNIVERSITY LAW CENTER	1946	9
AMERICAN FARMLAND TRUST	9283	9
GEORGETOWN UNIVERSITY	1945	9
CITIBANK	1159	9
JUSTICE COALITION	11910	9
AMERICAN LUNG ASSOCIATION	346	9
HEARTLAND ALLIANCE	2078	9
POLICY ANALYSIS CENTER	11915	9
AMERICAN LEGISLATIVE EXCHANGE COUNCIL	341	9
AMERICAN LIBRARY ASSOCIATION	343	9
WASHINGTON CONTRACT LOGGERS ASSOCIATION	9937	9
PARENTS TELEVISION COUNCIL	3991	9
BROWN UNIVERSITY	817	9
MICROSOFT	2914	9
MEDTRONIC	2853	9
AMERICAN JAIL ASSOCIATION	330	9
MUSCULAR DYSTROPHY ASSOCIATION	10091	9
THE AMERICAN LEGION	6150	9
CITGO	6152	9
EATON	1620	9
NATIONAL CRIME VICTIM LAW INSTITUTE	3337	9
UNITED STEELWORKERS	6157	9
NATIONAL DEFENSE COMMITTEE	3339	9
AMERICAN CORN GROWERS ASSOCIATION	12063	9
NATIONAL GROCERS ASSOCIATION	10096	9
AMERICAN NATIONAL RED CROSS	10192	9
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION	1705	9
CALIFORNIA SCHOOL EMPLOYEES ASSOCIATION	9675	9
EQUAL RIGHTS ADVOCATES	1709	9
TAX FOUNDATION	4678	9
TEMPLE UNIVERSITY	4703	9
AMERICAN GERIATRICS SOCIETY	299	9
AMERICAN GAMING ASSOCIATION	296	9
AMERICAN FRIENDS SERVICE COMMITTEE	294	9
AMERICAN FREEDOM AGENDA	293	9
ELLSWORTH	1661	9
NORTH COAST RIVERS ALLIANCE	3773	9
COAST ALLIANCE	9727	9
AMERICAN BANKERS ASSOCIATION	195	9
RIVER ALLIANCE	4320	9
AMERICAN BENEFITS COUNCIL	197	9
AMERICAN BAR ASSOCIATION	196	9
CHILDREN NOW	1124	9
CHILDRENS DEFENSE FUND	1126	9
AMERICAN AUTOIMMUNE RELATED DISEASES ASSOCIATION	192	9
SURFRIDER FOUNDATION	4655	9
AMERICAN EXPRESS	273	9
AMERICAN FAMILY ASSOCIATION	274	9
SOUTH DAKOTA CATTLEMENS ASSOCIATION	4552	9
MASTERCARD	2821	9
MAYO CLINIC	2822	9
CALIFORNIA COASTAL COMMISSION	9298	9
KELLOGG	2541	9
NATIONAL FOREIGN TRADE COUNCIL	3385	9
NATIONAL FOOTBALL LEAGUE	3382	9
NATIONAL FISHERIES INSTITUTE	3381	9
MORTGAGE BANKERS ASSOCIATION	3025	9
MORGAN STANLEY	3023	9
INTERNATIONAL RESCUE COMMITTEE	2383	9
AMERICAN TRUCKING ASSOCIATIONS	8738	9
CONSTITUTION PROJECT	1371	9
CORNELL UNIVERSITY	1401	9
INNOCENCE PROJECT	2266	9
AMERICAN HEALTH CARE ASSOCIATION	302	9
PUBLIC LANDS FOUNDATION	4215	9
VANDERBILT UNIVERSITY	5001	9
CONGRESSIONAL BLACK CAUCUS	1339	9
PUBLIC KNOWLEDGE	4213	9
VERIZON	5004	9
ANIMAL LEGAL DEFENSE FUND	443	9
PUBLIC COUNSEL	4194	9
COASTAL STATES ORGANIZATION	1238	9
MAJOR LEAGUE SOCCER	2765	9
MAJOR LEAGUE BASEBALL PLAYERS ASSOCIATION	2764	9
MENTAL HEALTH ASSOCIATION	7867	9
SAFE HORIZON	4359	9
INFORMATION TECHNOLOGY INDUSTRY COUNCIL	2260	9
FREEDOM FORUM	11384	9
RUTHERFORD INSTITUTE	4350	9
CALIFORNIA STATE SHERIFFS ASSOCIATION	902	9
GUAM	7707	9
TRANSPORTATION INTERMEDIARIES ASSOCIATION	4811	9
TRANSPORTATION INSTITUTE	4810	9
TRIBUNE	4817	9
PUBLIC JUSTICE	4815	9
ADVANCED MEDICAL TECHNOLOGY ASSOCIATION	32	9
TRINITY UNITED METHODIST CHURCH	4818	9
AMERICAN BOILER MANUFACTURERS ASSOCIATION	6506	9
FLORIDA IMMIGRANT ADVOCACY CENTER	1844	9
COCA COLA	1240	9
COLLEGE BOARD	1245	9
HISPANIC NATIONAL BAR ASSOCIATION	2105	9
NASDAQ	3094	9
UNITED STATES STUDENT ASSOCIATION	4900	9
MILITARY COALITION	10635	9
AMNESTY INTERNATIONAL	435	9
AMGEN	432	9
NATIONAL ASIAN PACIFIC AMERICAN WOMENS FORUM	3120	9
DISABLED AMERICAN VETERANS	1539	9
PROTECTING OUR CHILDREN	11217	9
HUMAN RIGHTS FIRST	2614	9
AMERICAN LEGION	339	9
MEDICAID	2839	9
SMALL BUSINESS LEGISLATIVE COUNCIL	9737	9
FEDERAL ENERGY REGULATORY COMMISSION	8098	9
AMERICAN LEGACY FOUNDATION	337	9
GENERAL ELECTRIC	1934	9
AMERICAN JEWISH COMMITTEE	331	9
NORTHROP GRUMMAN	3800	9
NORTHWEST AIRLINES	3803	9
AMERICAN JEWISH CONGRESS	332	9
UNITARIAN UNIVERSALIST ASSOCIATION	4843	9
ALPHA KAPPA ALPHA SORORITY	10028	9
SAS	7787	9
NATIONAL COLLEGIATE ATHLETIC ASSOCIATION	3294	9
AMERICAN RED CROSS	8342	9
NATIONAL COMMUNITY PHARMACISTS ASSOCIATION	3296	9
PRESERVATION ACTION	9282	9
CALIFORNIA BANKERS ASSOCIATION	854	9
PHILIP MORRIS	8190	9
UNITED TECHNOLOGIES CORPORATION	8196	9
NATIONAL MENTAL HEALTH ASSOCIATION	3454	9
3M COMPANY	0	9
NATIONAL MILK PRODUCERS FEDERATION	3458	9
NATIONAL PUBLIC RADIO	3503	9
OPEN SOCIETY INSTITUTE	3899	9
MAINE	7416	9
SCHOOL BOARDS ASSOCIATION	4410	9
ONCOLOGY NURSING SOCIETY	3894	9
INDIANA UNIVERSITY	2249	9
COUNCIL ON STATE TAXATION	1436	9
RURAL EDUCATION ASSOCIATION	6808	9
CALIFORNIA AIR RESOURCES BOARD	7270	9
TIME WARNER	4777	9
THOMSON REUTERS	4774	9
NATIONAL MULTIPLE SCLEROSIS SOCIETY	3464	9
THOMAS MORE LAW CENTER	4771	9
PHARMACEUTICAL MANUFACTURERS ASSOCIATION	7001	9
THE SENIORS COALITION	10093	9
FEDERAL LAW ENFORCEMENT OFFICERS ASSOCIATION	10842	9
WOMENS LAW CENTER	5228	9
NATIONAL CRIME PREVENTION COUNCIL	10844	9
GRANT THORNTON	1994	9
GRASSROOTS INTERNATIONAL	1999	9
AMERICAN BAPTIST CHURCHES	3460	9
VIRGINIA BANKERS ASSOCIATION	8937	9
RETIRED OFFICERS ASSOCIATION	9946	9
PENSION BENEFIT GUARANTY CORPORATION	9944	9
NATIONAL TAXPAYERS UNION	3535	9
MENNONITE CENTRAL COMMITTEE	2860	9
MENTAL HEALTH AMERICA	2862	9
KRAFT FOODS	2575	9
BIOTECHNOLOGY INDUSTRY ORGANIZATION	747	9
COUNTRY MUSIC ASSOCIATION	1438	9
AMERICAN-ARAB ANTI-DISCRIMINATION COMMITTEE	12192	9
CLEAN WATER ACTION	1199	9
INTERNATIONAL COMMUNITY CORRECTIONS ASSOCIATION	2343	9
NATIONAL CLUB ASSOCIATION	12142	9
NATIONAL DISABILITY RIGHTS NETWORK	3342	9
NATIONAL DEFENSE INDUSTRIAL ASSOCIATION	3340	9
INTERNATIONAL CRISIS GROUP	2349	9
NATIONAL DISTRICT ATTORNEYS ASSOCIATION	3344	9
NATIONAL DOWN SYNDROME CONGRESS	3345	9
60 PLUS ASSOCIATION	1	9
EPILEPSY FOUNDATION	1697	9
ENVIRONMENTAL TECHNOLOGY COUNCIL	1694	9
ENVIRONMENTAL DEFENSE FUND	1690	9
UNITED STATES BORDER PATROL	4881	9
UNISYS	9797	9
NATIONAL WILDERNESS INSTITUTE	10936	9
RICE UNIVERSITY	4312	9
CONGRESSIONAL COALITION	9112	9
NISQUALLY INDIAN TRIBE	6979	9
SIERRA CLUB	4469	9
FREEDOM ALLIANCE	1884	9
FREE SPEECH COALITION	1882	9
SAN FRANCISCO CHRONICLE	8796	9
HONEYWELL	2121	9
NATIONAL ASIAN PACIFIC AMERICAN LEGAL CONSORTIUM	3119	9
CARTER CENTER	946	9
SYMANTEC CORP	4665	9
NATIONAL APARTMENT ASSOCIATION	3115	9
HEBREW IMMIGRANT AID SOCIETY	2081	9
KAUFFMAN FOUNDATION	2538	9
DOW CHEMICAL	1576	9
BANK ONE	682	9
CALIFORNIA MEDICAL ASSOCIATION	875	9
WILDLIFE SOCIETY	5176	9
WILDERNESS SOCIETY	5175	9
PUBLIC ADVOCATES INC	4188	9
FINANCIAL SERVICES ROUNDTABLE	1818	9
NATIONAL IMMIGRATION FORUM	3406	9
CONGRESSIONAL HISPANIC CAUCUS	9363	9
AMAZON	133	9
TRANS WORLD AIRLINES	7224	9
NATIONAL INDIAN GAMING ASSOCIATION	3411	9
NATIONAL CABLE TELEVISION ASSOCIATION	8540	9
SENIOR EXECUTIVES ASSOCIATION	10834	9
NORTHEASTERN UNIVERSITY	3793	9
HURLEY MEDICAL CENTER	2154	9
AMERICAN UROLOGICAL ASSOCIATION	10665	9
AMERICAN TRUCKING ASSOCIATION	405	9
AMERICAN FARM BUREAU FEDERATION 	12210	9
CONSUMER ALERT	1375	9
CONSUMER BANKERS ASSOCIATION	1377	9
CONSUMER ELECTRONICS ASSOCIATION	1379	9
CONSUMER DATA INDUSTRY ASSOCIATION	1378	9
CARGO AIRLINE ASSOCIATION	937	9
GREENLINING INSTITUTE	2012	9
ORTHODOX UNION	9066	9
NATIONAL MEDICAL ASSOCIATION	3452	9
AIR FORCE SERGEANTS ASSOCIATION	8330	9
FREE CONGRESS FOUNDATION	10449	9
AMERICAN OPTOMETRIC ASSOCIATION	7445	9
AIR FORCE ASSOCIATION	10114	9
NATIONAL AUTOMOBILE DEALERS ASSOCIATION	3249	9
NATIONAL AUDUBON SOCIETY	3248	9
ENVIRONMENTAL ACTION	7318	9
SEMICONDUCTOR INDUSTRY ASSOCIATION	4437	9
PRIVACY RIGHTS CLEARINGHOUSE	4137	9
GENERAL MOTORS	1936	9
NATURE CONSERVANCY	11901	9
BURLINGTON COAT FACTORY	829	9
SIMON WIESENTHAL CENTER	4481	9
AMERICAN PUBLIC POWER ASSOCIATION	370	9
AMERICAN RIVERS	372	9
AMERICAN SEED TRADE ASSOCIATION	374	9
BUDDHIST PEACE FELLOWSHIP	822	9
NATIVE AMERICAN RIGHTS FUND	6856	9
JUDSON MEMORIAL CHURCH	10550	9
FAMILY RESEARCH COUNCIL	1770	9
BAXTER INTERNATIONAL	702	9
DAY	1483	9
DARTMOUTH COLLEGE	1482	9
AMERICAN SOCIOLOGICAL ASSOCIATION	391	9
AMERICAN STAFFING ASSOCIATION	394	9
EDUCATION LAW CENTER	7130	9
DADE COUNTY BAR ASSOCIATION	7135	9
PEOPLE FOR THE AMERICAN WAY	4044	9
INTERFAITH WORKER JUSTICE	2308	9
PENSION RIGHTS CENTER	4042	9
WYETH	5255	9
UNITED AIRLINES	4847	9
ERISA INDUSTRY COMMITTEE	1719	9
TEVA PHARMACEUTICALS	4721	9
INTERFAITH ALLIANCE	2306	9
ELI LILLY	1659	9
DEMOS	1513	9
ELECTRONIC INDUSTRIES ALLIANCE	1656	9
ELECTRONIC PRIVACY INFORMATION CENTER	1657	9
ELECTRONIC ARTS	1654	9
ELECTRONIC FRONTIER FOUNDATION	1655	9
NEW MEXICO FEDERAL LANDS COUNCIL	3664	9
REAL ESTATE ROUNDTABLE	4252	9
AMERICAN METEOROLOGICAL SOCIETY	8208	9
NOKIA	3745	9
NATIONAL FIRE PROTECTION ASSOCIATION	8203	9
CHIRON	1134	9
AMERICAN CLINICAL LABORATORY ASSOCIATION	244	9
AMERICAN CIVIL LIBERTIES UNION	241	9
LEGAL SERVICES CORPORATION	7623	9
CONSUMER SPECIALTY PRODUCTS ASSOCIATION	1385	9
NATIONAL RETAIL FEDERATION	11129	9
AMERICAN AIRLINES	149	9
FEDERAL NATIONAL MORTGAGE ASSOCIATION	10806	9
MAJOR COUNTY SHERIFFS ASSOCIATION	1439	9
NATIONAL GOVERNORS ASSOCIATION	3391	9
NATIONAL GEOGRAPHIC SOCIETY	3390	9
NATIONAL HEALTH COUNCIL	3392	9
NATIONAL HISPANIC MEDIA COALITION	3396	9
NATIONAL HISPANIC MEDICAL ASSOCIATION	3398	9
STEEL MANUFACTURERS ASSOCIATION	12004	9
BAYER CORPORATION	11509	9
AMERICAN PSYCHIATRIC NURSES ASSOCIATION	12000	9
MONTANA WILDLIFE FEDERATION	3015	9
LATINO POLICE OFFICERS ASSOCIATION	8729	9
ELECTRICITY CONSUMERS RESOURCE COUNCIL	9867	9
CONGRESSIONAL ASIAN PACIFIC AMERICAN CAUCUS	10900	9
FEDERALIST SOCIETY	10902	9
NATIONAL LABOR RELATIONS BOARD	6238	9
INTERNATIONAL MASS RETAIL ASSOCIATION	2370	9
ASIAN PACIFIC AMERICAN LABOR ALLIANCE	517	9
ASIAN LAW CAUCUS	516	9
CHICAGO POLICE DEPARTMENT	8500	9
REDRESS	4262	9
NATIONAL VICTIM CENTER	10308	9
EMPLOYMENT LAWYERS ASSOCIATION	10306	9
APPLESEED	452	9
APPLIED MATERIALS	453	9
JAPANESE AMERICAN CITIZENS LEAGUE	2450	9
WORKING WOMEN	8291	9
AIRLINE PASSENGERS ASSOCIATION	6534	9
FRANKLIN PIERCE LAW CENTER	1872	9
EMPIRE JUSTICE CENTER	1665	9
CANADA	6530	9
SECURITIES INDUSTRIES ASSOCIATION	4432	9
AMERICAN WATERWAYS OPERATORS	413	9
SENIOR CITIZENS LEAGUE	4438	9
BLUE SHIELD ASSOCIATION	766	9
HUMAN RESOURCE MANAGEMENT	11623	9
FEDERAL ELECTION COMMISSION	7498	9
MICHELIN	2881	9
HASBRO	2055	9
HARVARD UNIVERSITY	2054	9
HAWAII CONGRESSIONAL DELEGATION	2057	9
