key,congress,number,bill_type,is_alive,current_status,title_without_number
109#house_bill=2679,109,2679,house_bill,False,pass_over_house,Veterans’ Memorials, Boy Scouts, Public Seals, and Other Public Expressions of Religion Protection Act of 2006
111#house_bill=80,111,80,house_bill,False,pass_over_house,Captive Primate Safety Act
109#house_bill=4061,109,4061,house_bill,False,pass_over_house,Department of Veterans Affairs Information Technology Management Improvement Act of 2005
106#house_bill=2596,106,2596,house_bill,False,referred,Realistic Tests for Realistic Threats National Security Act of 1999
108#house_bill=2090,108,2090,house_bill,False,referred,To limit the redistricting that States may do after an apportionment of Representatives.
112#house_bill=1077,112,1077,house_bill,False,referred,CHEF Act
111#house_resolution=771,111,771,house_resolution,False,passed_simpleres,Supporting the goals and ideals of a National Mesothelioma Awareness Day.
111#house_resolution=776,111,776,house_resolution,False,passed_simpleres,Congratulating the Dartmouth Outing Club of Hanover, New Hampshire, for 100 years of service to the United States and its wilderness.
107#house_bill=1490,107,1490,house_bill,False,referred,Homebound Clarification Act of 2001
111#house_bill=85,111,85,house_bill,False,referred,Marriage Tax Penalty Permanent Elimination Act of 2009
107#house_bill=1494,107,1494,house_bill,False,referred,National Forest Protection and Restoration Act of 2001
109#house_bill=677,109,677,house_bill,False,referred,For the relief of Kadiatou Diallo, Laouratou Diallo, Ibrahima Diallo, Abdoul Diallo, Mamadou Bobo Diallo, Mamadou Pathe Diallo, Fatoumata Traore Diallo, Sankarela Diallo, and Marliatou Bah.
109#house_bill=676,109,676,house_bill,False,referred,Expanded and Improved Medicare for All Act
108#house_bill=314,108,314,house_bill,False,pass_over_house,Mortgage Servicing Clarification Act
112#house_bill=1980,112,1980,house_bill,False,referred,Gold Star Mothers National Monument Act of 2011
108#house_bill=316,108,316,house_bill,False,referred,To eliminate certain restrictions on the availability of credits under title III of the Energy Policy Act of 1992 for the use of biodiesel fuel, and for other purposes.
110#house_bill=4063,110,4063,house_bill,False,referred,Restitution for the Exonerated Act of 2007
110#house_bill=4061,110,4061,house_bill,False,referred,To allow employees of a commercial passenger airline carrier who receive payments in a bankruptcy proceeding to roll over such payments into an individual retirement plan, and for other purposes.
111#house_concurrent_resolution=112,111,112,house_concurrent_resolution,False,referred,Expressing support for designation of a “National Lao-Hmong Recognition Day”.
110#house_bill=6520,110,6520,house_bill,False,referred,To increase global stability and security for the United States and the international community by reducing the number of individuals who are de jure or de facto stateless and at risk of being trafficked.
110#house_bill=4066,110,4066,house_bill,False,referred,Close the Enron Loophole Act
111#house_concurrent_resolution=117,111,117,house_concurrent_resolution,False,referred,Commemorating the 40th Anniversary of humanity’s first landing on the Moon, celebrating the success of the United States human space flight program, and recognizing the accomplishments of NASA’s human space flight centers.
111#house_bill=270,111,270,house_bill,False,referred,TRICARE Continuity of Coverage for National Guard and Reserve Families Act of 2009
108#house_bill=2327,108,2327,house_bill,False,referred,Lewis and Clark National Historic Trail Extension Act of 2003
109#house_resolution=222,109,222,house_resolution,False,referred,Supporting the goals and ideals of a National Day of Remembrance for Murder Victims.
111#house_bill=275,111,275,house_bill,False,referred,To repeal the imposition of 3 percent withholding on certain payments made to vendors by government entities.
107#house_concurrent_resolution=387,107,387,house_concurrent_resolution,False,passed_concurrentres,Recognizing the American Society of Civil Engineers for reaching its 150th Anniversary and for the many vital contributions of civil engineers to the quality of life of our Nation’s people including the research and development projects that have led to the physical infrastructure of modern America.
108#house_bill=2329,108,2329,house_bill,False,referred,Global Pathogen Surveillance Act of 2003
